"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"71","Exchange of messages of 1 July 1941 constituting an agreement between the United States of America and Iceland relating to the defence of Iceland by United States forces","Iceland, United States of America*","1 July 1941 by the exchange of the said notes",1948-01-30,"Military matters","Bilateral","12 (p.405)",1941-07-01,1948,1,30,1941,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Cultural Agreement between the French Republic and the Austrian Republic","Austria*, France","24 July 1947 by the exchange of the instruments of ratification, in accordance with article 23",1948-01-28,"Cultural matters","Bilateral","12 (p.109)",1947-07-24,1948,1,28,1947,7,24,"Vienna",1947-03-15,1947,3,15,NA,NA,NA,NA,NA
"181","Convention between the Republic of Poland and the French Republic concerning intellectual co-operation","France, Poland*","13 June 1947 by the exchange of the instruments of ratification, in accordance with article 10",1948-01-23,"Cultural matters, Cooperation","Bilateral","12 (p.95)",1947-06-13,1948,1,23,1947,6,13,"Paris",1947-02-19,1947,2,19,NA,NA,NA,NA,NA
"189","Convention between France and Poland concerning the payment of death and disability pensions to the victims of the 1939-1945 war","France, Poland*","1 October 1947 by the exchange of the instruments of ratification, in accordance with article 9",1948-02-11,"War, Pensions, Payments","Bilateral","12 (p.287)",1947-10-01,1948,2,11,1947,10,1,"Paris",1947-02-11,1947,2,11,NA,NA,NA,NA,NA
"190","Agreement for regulating commercial exchanges between Poland and Sweden, Agreement respecting the adjustment of payments and Additional Agreement concerning the participation of Sweden in the reconstruction of Polish economy in exchange for the provision of Polish coal and coke","Poland*, Sweden","4 June 1947 , in accordance with article VII",1948-02-16,"Fuels, Assistance, Economic matters, Trade","Bilateral","12 (p.295)",1947-06-04,1948,2,16,1947,6,4,"Stockholm",1947-03-18,1947,3,18,NA,NA,NA,NA,NA
"193","Agreement concerning air services between the Republic of Poland and the Kingdom of Romania","Poland*, Romania","25 October 1947 , in accordance with article 10",1948-02-16,"Transport, Aviation","Bilateral","12 (p.363)",1947-10-25,1948,2,16,1947,10,25,"Bucharest",1947-08-09,1947,8,9,NA,NA,NA,NA,NA
"178","Agreement between the Republic of China and the United States of America concerning the United States relief assistance to the Chinese people","China*, United States of America","27 October 1947 by signature, in accordance with article X",1948-01-08,"Assistance","Bilateral","12 (p.11)",1947-10-27,1948,1,8,1947,10,27,"Nanking",1947-10-27,1947,10,27,NA,NA,NA,NA,NA
"187","Agreement between the Netherlands and the United Kingdom of Great Britain and Northern Ireland concerning the supply by the United Kingdom to the Netherlands of certain aircraft and equipment","Netherlands*, United Kingdom of Great Britain and Northern Ireland","4 December 1946 , in accordance with article 3",1948-02-09,"Assistance, Aviation","Bilateral","12 (p.241)",1946-12-04,1948,2,9,1946,12,4,"London",1946-12-04,1946,12,4,NA,NA,NA,NA,NA
"179","Agreement between the Government of the Republic of China and the Government of the United States of America for the use of funds made available in accordance with Article 6 (b) (1) of the Surplus War Property Sales Agreement of 30 August 1946","Republic of China, United States of America","10 November 1947 by signature, in accordance with article 14",1948-01-08,"Military matters, Finance","Bilateral","12 (p.39)",1947-11-10,1948,1,8,1947,11,10,"Nanking",1947-11-10,1947,11,10,NA,NA,NA,NA,NA
"188","Agreement between the Government of the Netherlands and the Government of the Union of South Africa relating to air services between their respective territories","Netherlands*, Union of South Africa","22 July 1947 by signature, in accordance with article 12",1948-02-09,"Transport, Aviation","Bilateral","12 (p.257)",1947-07-22,1948,2,9,1947,7,22,"Pretoria",1947-07-22,1947,7,22,NA,NA,NA,NA,NA
"177","Agreement between France and Denmark on the protection of industrial property","Denmark*, France","16 September 1947 , in accordance with article VI",1948-01-02,"Property matters, Patents","Bilateral","12 (p.3)",1947-09-16,1948,1,2,1947,9,16,"Paris",1947-07-16,1947,7,16,NA,NA,NA,NA,NA
