"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"105","Exchange of notes constituting an agreement between the United States of America and Iceland relating to the air transport services with regard to the transportation of Icelandic passengers and mail","Iceland, United States of America*","11 April 1945 by the exchange of the said notes",1948-06-21,"Transport, Postal services, Aviation","Bilateral","16 (p.241)",1945-04-11,1948,6,21,1945,4,11,"Reykjavik",1945-04-11,1945,4,11,"Reykjavik",1945-01-27,1945,1,27
"249","Exchange of Notes constituting an agreement between the United States of America and France relating to the extension of the time for fulfilling the conditions and formalities of the copyright laws","France, United States of America*","27 March 1947 by the exchange of the said notes",1948-06-21,"Legal matters, Copyright","Bilateral","16 (p.65)",1947-03-27,1948,6,21,1947,3,27,"Washington",1947-03-27,1947,3,27,NA,NA,NA,NA,NA
"258","Exchange of Notes between the Government of Australia and the Government of Poland constituting an agreement concerning a gift of wool for post-UNRRA relief","Australia*, Poland","3 June 1948 by the exchange of the said notes",1948-06-24,"United Nations (UN), Disaster relief, Commodities","Bilateral","16 (p.189)",1948-06-03,1948,6,24,1948,6,3,"NewYork",1948-06-03,1948,6,3,NA,NA,NA,NA,NA
"260","Declaration of Belgium recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statue of the International Court of Justice","Belgium","13 July 1948",1948-07-13,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","16 (p.203)",1948-07-13,1948,7,13,1948,7,13,"Brussels",1948-06-10,1948,6,10,NA,NA,NA,NA,NA
"259","Declaration by Pakistan recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice","Pakistan","9 July 1948",1948-07-09,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","16 (p.197)",1948-07-09,1948,7,9,1948,7,9,"Karachi",1948-06-22,1948,6,22,NA,NA,NA,NA,NA
"261","Declaration by Bolivia recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraphs 2 and 3, of the Statute of the International Court of Justice","Bolivia","16 July 1948",1948-07-16,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","16 (p.207)",1948-07-16,1948,7,16,1948,7,16,"LaPaz",1948-07-05,1948,7,5,NA,NA,NA,NA,NA
"247","Agreement between the United States of America and the Republic of the Philippines relating to a fishery rehabilitation and development programme and a fishery training programme in the Philippines","Philippines, United States of America*","14 March 1947 by signature, in accordance with article XIV",1948-06-21,"Assistance, Fishing and fisheries, Education","Bilateral","16 (p.31)",1947-03-14,1948,6,21,1947,3,14,"Manila",1947-03-14,1947,3,14,NA,NA,NA,NA,NA
"253","Agreement between the United States of America and the Republic of the Philippines regarding meteorological facilities and training programme","Philippines, United States of America*","12 May 1947 by signature, in accordance with article XII",1948-06-21,"Meteorology, Education","Bilateral","16 (p.123)",1947-05-12,1948,6,21,1947,5,12,"Manila",1947-05-12,1947,5,12,NA,NA,NA,NA,NA
"252","Agreement between the United States of America and the Republic of the Philippines regarding coast and geodetic survey work and training programme","Philippines, United States of America*","12 May 1947 by signature, in accordance with article XIII",1948-06-21,"Information, Frontiers, Earth sciences","Bilateral","16 (p.109)",1947-05-12,1948,6,21,1947,5,12,"Manila",1947-05-12,1947,5,12,NA,NA,NA,NA,NA
"254","Agreement between the United States of America and the Republic of the Philippines regarding air navigation facilities and training programme","Philippines, United States of America*","12 May 1947 by notification, in accordance with article XII",1948-06-21,"Navigation, Education, Aviation","Bilateral","16 (p.137)",1947-05-12,1948,6,21,1947,5,12,"Manila",1947-05-12,1947,5,12,NA,NA,NA,NA,NA
"245","Agreement between the United States of America and the Philippines relating to a road, street and bridge programme in the Philippines","Philippines, United States of America*","14 February 1947 by signature, in accordance with article XVI",1948-06-21,"Assistance, Roads, Transport","Bilateral","16 (p.3)",1947-02-14,1948,6,21,1947,2,14,"Manila",1947-02-14,1947,2,14,NA,NA,NA,NA,NA
"256","Agreement between the United States of America and the Kingdom of Greece concerning the United States relief assistance to the Greek people","Greece, United States of America*","8 July 1947 by signature, in accordance with article X",1948-06-21,"Disaster relief, Assistance","Bilateral","16 (p.157)",1947-07-08,1948,6,21,1947,7,8,"Athens",1947-07-08,1947,7,8,NA,NA,NA,NA,NA
"246","Agreement between the Government of the United States of America and the Government of the Kingdom of Siam relating to air services between their respective territories","Siam, United States of America*","26 February 1947 by signature, in accordance with article 12",1948-06-21,"Transport, Aviation","Bilateral","16 (p.17)",1947-02-26,1948,6,21,1947,2,26,"Bangkok",1947-02-26,1947,2,26,NA,NA,NA,NA,NA
"263","Agreement between the Government of New Zealand and the Government of the French Republic regarding the granting of credits for the purpose of financing purchases of wool and other produce of New Zealand.","France, New Zealand*","16 September 1947 , in accordance with article VI",1948-07-22,"Credits, Commodities, Trade","Bilateral","16 (p.219)",1947-09-16,1948,7,22,1947,9,16,"Wellington",1947-07-02,1947,7,2,NA,NA,NA,NA,NA
"264","Agreement between the Government of New Zealand and the Government of the Czechoslovak Republic regarding the granting of credits for the purpose of financing purchases of wool","Czechoslovakia, New Zealand*","22 January 1948 by signature, in accordance with article VI",1948-07-22,"Credits, Commodities, Trade","Bilateral","16 (p.229)",1948-01-22,1948,7,22,1948,1,22,"London",1948-01-22,1948,1,22,NA,NA,NA,NA,NA
