"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"421","Air Transport Agreement between the Czechoslovak Republic and the Federal People's Republic of Yugoslavia","Czechoslovakia, Yugoslavia (Socialist Federal Republic of)","20 August 1948 by the exchange of the said notes, in accordance with article 16",1949-04-13,"Transport, Aviation","Bilateral","28 (p.81)",1948-08-20,1949,4,13,1948,8,20,"Belgrade",1948-03-14,1948,3,14,NA,NA,NA,NA,NA
"422","Air Transport Agreement between Ireland and the Netherlands","Ireland, Netherlands","10 May 1948 by signature",1949-04-13,"Transport, Aviation","Bilateral","28 (p.121)",1948-05-10,1949,4,13,1948,5,10,"Dublin",1948-05-10,1948,5,10,NA,NA,NA,NA,NA
"426","Agreement between the Netherlands and Spain for the regulation of civil air lines","Netherlands, Spain","1 November 1948 , in accordance with article XII",1949-04-13,"Transport, Aviation","Bilateral","28 (p.209)",1948-11-01,1949,4,13,1948,11,1,"Madrid",1948-10-08,1948,10,8,NA,NA,NA,NA,NA
"418","Agreement between the Governments of the United Kingdom of Great Britain and Northern Ireland, of Australia and of New Zealand concerning the formation of British Commonwealth Pacific Airlines Limited","Austria, New Zealand, United Kingdom of Great Britain and Northern Ireland","4 August 1947 by signature",1949-04-13,"Transport, Aviation","Multilateral","28 (p.41)",1947-08-04,1949,4,13,1947,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Agreement between the Government of the United States of America and the Government of the Republic of Guatemala relating to the detail of an officer of the United States Army to serve as Director of the Polytechnic School of the Republic of Guatemala","Guatemala, United States of America*","17 July 1943 by signature, in accordance with article 3",1949-04-14,"Assistance, Labour, Education, Military matters, Cooperation","Bilateral","28 (p.432)",1943-07-17,1949,4,14,1943,7,17,"Washington",1943-07-17,1943,7,17,NA,NA,NA,NA,NA
"420","Agreement between the Government of the Republic of the Philippines and the Government of the United Kingdom of Great Britain and Northern Ireland for air services between and beyond their respective territories","Philippines, United Kingdom of Great Britain and Northern Ireland","7 January 1948 by signature, in accordance with article 14",1949-04-13,"Transport, Aviation","Bilateral","28 (p.63)",1948-01-07,1949,4,13,1948,1,7,"Manila",1948-01-07,1948,1,7,NA,NA,NA,NA,NA
"423","Agreement between the Government of Pakistan and the Government of India relating to air services","India, Pakistan","1 July 1948 , in accordance with article XII",1949-04-13,"Transport, Aviation","Bilateral","28 (p.143)",1948-07-01,1949,4,13,1948,7,1,"Karachi",1948-06-23,1948,6,23,NA,NA,NA,NA,NA
"428","Agreement between the Government of Pakistan and the Government of Ceylon relating to air services","Ceylon, Pakistan","3 January 1949 by signature, in accordance with article XII",1949-04-13,"Transport, Aviation","Bilateral","28 (p.247)",1949-01-03,1949,4,13,1949,1,3,"Karachi",1949-01-03,1949,1,3,NA,NA,NA,NA,NA
"419","Agreement between the Government of Ireland and the Government of Canada for air service between the two countries","Canada, Ireland","8 August 1947 by signature, in accordance with article X",1949-04-13,"Transport, Aviation","Bilateral","28 (p.47)",1947-08-08,1949,4,13,1947,8,8,"Dublin",1947-08-08,1947,8,8,NA,NA,NA,NA,NA
"427","Agreement between the Government of India and the Government of Ceylon relating to air services","Ceylon, India","21 December 1948 by signature, in accordance with article XI",1949-04-13,"Transport, Aviation","Bilateral","28 (p.223)",1948-12-21,1949,4,13,1948,12,21,"NewDelhi",1948-12-21,1948,12,21,NA,NA,NA,NA,NA
"429","Agreement between the Government of Iceland and the Council of the International Civil Aviation Organization on air navigation services in Iceland","Iceland, International Civil Aviation Organization*","16 September 1948 by signature, in accordance with article 13",1949-04-13,"Transport, Aviation","Bilateral","28 (p.267)",1948-09-16,1949,4,13,1948,9,16,"Montreal",1948-09-16,1948,9,16,NA,NA,NA,NA,NA
"416","Agreement between Canada and the United Kingdom concerning the establishment of air communications between the territory of Canada and United Kingdom territories in the West Atlantic and Caribbean areas","Canada, United Kingdom of Great Britain and Northern Ireland","17 July 1947 by signature, in accordance with article 13",1949-04-13,"Watercourses-Water resources, Transport, Caribbean, Aviation","Bilateral","28 (p.3)",1947-07-17,1949,4,13,1947,7,17,"Ottawa",1947-07-17,1947,7,17,NA,NA,NA,NA,NA
"417","Agreement between the Government of the Kingdom of Siam and the Government of the Netherlands relating to air services between their respective territories","Netherlands, Siam","18 July 1947 by signature, in accordance with article 12",1949-04-13,"Transport, Aviation","Bilateral","28 (p.27)",1947-07-18,1949,4,13,1947,7,18,"Bangkok",1947-07-18,1947,7,18,NA,NA,NA,NA,NA
