"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"703","Exchange of letters constituting an agreement between Belgium and Argentina on reciprocal exemption from taxation on the profits of shipping companies or branches of such companies. Buenos Aires, 25 July 1949.","Argentina, Belgium*","25 July 1949 by the exchange of the said letters",1950-01-24,"Maritime matters, Ships and shipping, Taxation, Transport","Bilateral","46 (p.103)",1949-07-25,1950,1,24,1949,7,25,"BuenosAires",1949-07-25,1949,7,25,NA,NA,NA,NA,NA
"699","Convention on cultural collaboration between the Czechoslovak Republic and the Kingdom of Romania","Czechoslovakia*, Romania","8 April 1948 by the exchange of the instruments of ratification, in accordance with article XVIII",1950-01-16,"Cultural matters","Bilateral","46 (p.37)",1948-04-08,1950,1,16,1948,4,8,"Prague",1947-09-05,1947,9,5,NA,NA,NA,NA,NA
"698","Convention on cultural and educational relations between the Czechoslovak Republic and the Bulgarian People's Republic","Bulgaria, Czechoslovakia*","23 April 1948 by the exchange of the instruments of ratification, in accordance with article 17",1950-01-16,"Cultural matters","Bilateral","46 (p.15)",1948-04-23,1950,1,16,1948,4,23,"Sofia",1947-06-20,1947,6,20,NA,NA,NA,NA,NA
"710","Convention for the Suppression of the Circulation of, and Traffic in, Obscene Publications, concluded at Geneva on 12 September 1923 and amended by the Protocol signed at Lake Success, New York, on 12 November 1947","Afghanistan, Albania, Australia, Austria, Belarus, Belgium, Brazil, Burma, Cambodia, Canada, Ceylon, China, Congo (Leopoldville), Cuba, Cyprus, Czech Republic, Czechoslovakia, Denmark, Denmark, Egypt, Fiji, Finland, German Democratic Republic, Ghana, Greece, Guatemala, Haiti, Hungary, India, Ireland, Italy, Jamaica, Jordan, Lesotho, Liberia, Luxembourg, Madagascar, Malawi, Malaysia, Malta, Mauritius, Mexico, Montenegro, Netherlands, Netherlands, New Zealand, Nigeria, Norway, Pakistan, Poland, Romania, Sierra Leone, Slovakia, Solomon Islands, Tanganyika, Trinidad and Tobago, Turkey, Union of South Africa, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of), Zambia","2 February 1950 , in accordance with article 9",1950-02-02,"Publications","Multilateral","46 (p.201)",1950-02-02,1950,2,2,1950,2,2,"NewYork",1947-11-12,1947,11,12,NA,NA,NA,NA,NA
"700","Convention between the Czechoslovak Republic and the United Kingdom of Great Britain and Northern Ireland for the promotion of mutual understanding of intellectural, artistic and scientific activities","Czechoslovakia*, United Kingdom of Great Britain and Northern Ireland","15 October 1947 by the exchange of the instruments of ratification, in accordance with article 16",1950-01-16,"Scientific matters, Cultural matters","Bilateral","46 (p.61)",1947-10-15,1950,1,16,1947,10,15,"London",1947-06-16,1947,6,16,NA,NA,NA,NA,NA
"706","Convention between Belgium and the Netherlands concerning veterinary practice in frontier communes","Belgium*, Netherlands","19 September 1949 by the exchange of the instruments of ratification, in accordance with article 6",1950-01-26,"Animals, Frontiers","Bilateral","46 (p.133)",1949-09-19,1950,1,26,1949,9,19,"Brussels",1947-04-28,1947,4,28,NA,NA,NA,NA,NA
"716","Arrangement between the Netherlands and Italy concerning the employment of Italian workers for underground work in the Netherlands mines (with annex and excange of notes).","Italy, Netherlands*","4 December 1948 by signature, in accordance with article 14",1950-02-13,"Mines (military), Labour","Bilateral","46 (p.271)",1948-12-04,1950,2,13,1948,12,4,"Rome",1948-12-04,1948,12,4,NA,NA,NA,NA,NA
"707","Agreement on cultural co-operation between the Polish Republic and the Romanian People's Republic","Poland*, Romania","11 November 1948 by the exchange of the instruments of ratification, in accordance with article 7",1950-01-31,"Cultural matters","Bilateral","46 (p.143)",1948-11-11,1950,1,31,1948,11,11,"Warsaw",1948-02-27,1948,2,27,NA,NA,NA,NA,NA
"714","Agreement concerning the establishment of an International Patents Bureau","Belgium, France, Luxembourg, Netherlands*","10 June 1949 , in accordance with article 10",1950-02-13,"International organizations-Institutions, Charters-Constitutions-Statutes, Patents","Multilateral","46 (p.249)",1949-06-10,1950,2,13,1949,6,10,"TheHague",1947-06-06,1947,6,6,NA,NA,NA,NA,NA
"188","Agreement between the United Nations and the World Health Organization concerning the premises to be used for the headquarters of the World Health Organization in Geneva","United Nations, World Health Organization","15 February 1950 by signature",1950-02-15,"Headquarters (organizations)","Bilateral","46 (p.327)",1950-02-15,1950,2,15,1950,2,15,"LakeSuccess",1950-02-15,1950,2,15,"Geneva",1950-02-10,1950,2,10
"697","Agreement between the Royal Government of Afghanistan and the United Nations Educational, Scientific and Cultural Organization relating to a consultative educational mission to Afghanistan","Afghanistan*, United Nations Educational, Scientific and Cultural Organization","10 December 1948 , in accordance with article XII",1950-01-11,"Assistance, Education","Bilateral","46 (p.3)",1948-12-10,1950,1,11,1948,12,10,"Beirut",1948-12-08,1948,12,8,NA,NA,NA,NA,NA
"717","Agreement between the Government of the Kingdom of the Netherlands and the Government of the United States of America for the use of funds made available in accordance with the Agreement between the Government of the Kingdom of the Netherlands and the Government of the United States of America regarding settlement for lend-lease, reciprocal aid, surplus property, military relief and claims, signed at Washington, D.C., on 28 May 1947","Netherlands*, United States of America","17 May 1949 by signature, in accordance with article 17",1950-02-13,"Lend-lease agreements, Assistance, Claims-Debts, Military matters, Cooperation, Property matters, Finance","Bilateral","46 (p.291)",1949-05-17,1950,2,13,1949,5,17,"TheHague",1949-05-17,1949,5,17,NA,NA,NA,NA,NA
"701","Additional Protocol to the Declaration concerning scientific, literary and educational relations between Czechoslovakia and France","Czechoslovakia*, France","8 December 1945 by signature",1950-01-16,"Scientific matters, Cultural matters, Education","Bilateral","46 (p.77)",1945-12-08,1950,1,16,1945,12,8,"Paris",1945-12-08,1945,12,8,NA,NA,NA,NA,NA
