"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"144","Exchange of Notes between the Governments of Australia and the Netherlands relating to financial arrangements and provision of a credit of L7,500,000","Australia*, Netherlands","24 January 1947 by the exchange of the said notes",1947-11-18,"Credits, Finance","Bilateral","10 (p.77)",1947-01-24,1947,11,18,1947,1,24,"Canberra",1947-01-24,1947,1,24,NA,NA,NA,NA,NA
"143","Exchange of Notes between the Governments of Australia and Sweden relating to trade and commerce","Australia*, Sweden","16 September 1946 by the exchange of the said notes",1947-11-18,"Trade","Bilateral","10 (p.63)",1946-09-16,1947,11,18,1946,9,16,"Sydney",1946-09-16,1946,9,16,"Canberra",1946-09-13,1946,9,13
"59","Exchange of notes between His Majesty's Government in the United Kingdom and the Government of Saudi Arabia prolonging the Treaty of Jedda of 20 May 1927, as modified by the Exchange of Notes of 3 October 1936","Saudi Arabia, United Kingdom of Great Britain and Northern Ireland*","31 October 1943 by the exchange of the said notes",1947-10-31,"Friendship","Bilateral","10 (p.165)",1943-10-31,1947,10,31,1943,10,31,"Jeddah",1943-10-31,1943,10,31,"Mecca",1943-10-03,1943,10,3
"64","Exchange of notes between China and the United Kingdom of Great Britain and Northern Ireland on the demarcation of the Southern Section of the Yunnan-Burma Boundary and the joint exploitation of the Lufang Mines","China*, United Kingdom of Great Britain and Northern Ireland","18 June 1941 by the exchange of the said notes",1947-11-21,"Mines (military), Frontiers","Bilateral","10 (p.227)",1941-06-18,1947,11,21,1941,6,18,"Chungking",1941-06-18,1941,6,18,NA,NA,NA,NA,NA
"139","Convention on Cultural Collaboration between the Republic of Poland and the Federal People's Republic of Yugoslavia","Poland*, Yugoslavia (Socialist Federal Republic of)","7 July 1946 by the exchange of the instruments of ratification, in accordance with article VII",1947-11-06,"Cultural matters, Cooperation","Bilateral","10 (p.11)",1946-07-07,1947,11,6,1946,7,7,"Warsaw",1946-03-16,1946,3,16,NA,NA,NA,NA,NA
"56","Agreement for the extradition of offenders between the Sheikhdom of Koweit and the Kingdom of Saudi Arabia","Saudi Arabia, United Kingdom of Great Britain and Northern Ireland (Kuwait)","1 May 1943 by the exchange of the instruments of ratification, in accordance with article 9",1947-10-31,"Extradition, Criminal matters","Bilateral","10 (p.99)",1943-05-01,1947,10,31,1943,5,1,"Jeddah",1942-04-20,1942,4,20,NA,NA,NA,NA,NA
"57","Agreement for friendship and neighbourly relations between the Sheikhdom of Koweit and the Kingdom of Saudi Arabia","Saudi Arabia, United Kingdom of Great Britain and Northern Ireland (Kuwait)","1 May 1943 by the exchange of the instruments of ratification, in accordance with article 12",1947-10-31,"Friendship","Bilateral","10 (p.117)",1943-05-01,1947,10,31,1943,5,1,"Jeddah",1942-04-20,1942,4,20,NA,NA,NA,NA,NA
"60","Agreement concerning the Establishment of a Direct Radiotelephone Service between the United Kingdom of Great Britain and Northern Ireland and the Union of Soviet Socialist Republics","Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland*","25 August 1946",1947-10-31,"Telecommunications","Bilateral","10 (p.171)",1946-08-25,1947,10,31,1946,8,25,"Moscow",1944-09-23,1944,9,23,NA,NA,NA,NA,NA
"142","Agreement between the Governments of Australia and Canada for Air Services between Australia and Canada","Australia*, Canada","11 June 1946 by signature, in accordance with article 13",1947-11-18,"Transport, Aviation","Bilateral","10 (p.47)",1946-06-11,1947,11,18,1946,6,11,"Ottawa",1946-06-11,1946,6,11,NA,NA,NA,NA,NA
"145","Agreement between the Government of Australia and the Government of the United States of America concerning aerodrome facilities","Australia*, United States of America","10 March 1947 by signature",1947-11-18,"Aviation","Bilateral","10 (p.89)",1947-03-10,1947,11,18,1947,3,10,"Canberra",1947-03-10,1947,3,10,NA,NA,NA,NA,NA
"62","Agreement between the General Directorate for the Royal Danish Post and Telegraph Service and the Royal Norwegian Telegraph Board, concerning relationship of property, etc., by transfer of two telephone cables between Denmark and Norway","Denmark*, Norway","23 November 1945 , in accordance with article 6",1947-11-05,"Telecommunications, Property matters","Bilateral","10 (p.203)",1945-11-23,1947,11,5,1945,11,23,"Copenhagen",1945-08-07,1945,8,7,NA,NA,NA,NA,NA
